nodes,speed_mps,sent,delivered,forwarded,pdr,avg_delay_s,throughput_mbps,duplicate_drops,ttl_drops,no_candidate_drops,energy_drops,suppressed_forwards
100,20,200,200,546,1,0.0100871,0.00711111,1008,0,352,0,323
100,30,200,200,906,1,0.01428,0.00711111,1449,0,349,0,438
100,40,200,198,618,0.99,0.0112142,0.00704,1138,0,354,0,311
100,50,200,198,560,0.99,0.0098513,0.00704,1013,0,340,0,296
200,20,200,198,387,0.99,0.00799958,0.00704,678,0,364,0,241
200,30,200,199,472,0.995,0.0090509,0.00707556,994,0,309,0,311
200,40,200,196,536,0.98,0.00897874,0.00696889,1110,0,217,0,386
200,50,200,199,462,0.995,0.00914601,0.00707556,908,0,323,0,287
300,20,200,196,1377,0.98,0.0190651,0.00696889,2406,0,217,0,601
300,30,200,198,891,0.99,0.0126924,0.00704,1663,0,285,0,440
300,40,200,195,1060,0.975,0.0154737,0.00693333,1976,0,220,0,505
300,50,200,197,788,0.985,0.0131523,0.00700444,1311,0,409,0,417
400,20,200,193,753,0.965,0.0111085,0.00686222,1565,0,89,0,524
400,30,200,197,982,0.985,0.0154321,0.00700444,1759,0,134,0,579
400,40,200,199,791,0.995,0.0128692,0.00707556,1590,0,104,0,516
400,50,200,198,778,0.99,0.0127133,0.00704,1526,0,144,0,482
500,20,200,199,363,0.995,0.00577699,0.00707556,774,0,391,0,274
500,30,200,199,289,0.995,0.00684303,0.00707556,555,0,465,0,174
500,40,200,200,88,1,0.00496621,0.00711111,177,0,595,0,61
500,50,200,199,342,0.995,0.00769281,0.00707556,727,0,415,0,229
